suite,symbol,entry_date,exit_date,side,entry_price,exit_price,pnl,commission,net_pnl,p_up,p_down,confidence,mcmc_ms
hmm_suite2,VN30F1M,20260115,20260115,SELL,2060.9,2047.48,13.42,0.0,13.42,0.0,0.010672265554000245,0.9773643095254205,0.0
hmm_suite2,VN30F1M,20260116,20260116,SELL,2058.64,2080.35,-21.71,0.0,-21.71,0.0,0.04192867214403217,0.9390208494850041,0.0
hmm_suite2,VN30F1M,20260119,20260119,BUY,2104.31,2094.24,-10.07,0.0,-10.07,0.012043179036746104,0.0,0.9436273919224897,0.0
hmm_suite2,VN30F1M,20260127,20260127,SELL,2034.0,2019.88,14.12,0.0,14.12,0.0,2.0495492409643274e-10,0.9989898324257386,0.0
hmm_suite2,VN30F1M,20260130,20260130,SELL,2025.38,2029.81,-4.43,0.0,-4.43,0.0,0.013575253007327284,0.8467903302322598,0.0
hmm_suite2,VN30F1M,20260202,20260202,BUY,2021.25,2004.31,-16.94,0.0,-16.94,0.14481795512987322,0.0,0.794626593552958,0.0
hmm_suite2,VN30F1M,20260203,20260203,SELL,2008.24,1997.69,10.55,0.0,10.55,0.0,3.8000866538752976e-06,0.9372107190415632,0.0
hmm_suite2,VN30F1M,20260211,20260211,BUY,1965.67,2000.9,35.23,0.0,35.23,0.20203700360019974,0.0,0.7904767152271472,0.0
hmm_suite2,VN30F1M,20260212,20260212,BUY,2012.76,2016.47,3.71,0.0,3.71,2.6661873295630957e-06,0.0,0.9999973331095225,0.0
hmm_suite2,VN30F1M,20260213,20260213,SELL,2016.82,2018.64,-1.82,0.0,-1.82,0.0,0.8963289154248706,0.8963289154248706,0.0
hmm_suite2,VN30F1M,20260303,20260303,SELL,2019.38,1959.35,60.03,0.0,60.03,0.0,0.9966487421635996,0.9966487421635996,0.0
hmm_suite2,VN30F1M,20260304,20260304,SELL,1948.24,1956.53,-8.29,0.0,-8.29,0.0,5.043149683576308e-16,0.9914924730388003,0.0
hmm_suite2,VN30F1M,20260305,20260305,BUY,1977.28,1942.76,-34.52,0.0,-34.52,0.05238019465342626,0.0,0.947619804996266,0.0
hmm_suite2,VN30F1M,20260306,20260306,BUY,1934.7,1904.19,-30.51,0.0,-30.51,0.16857012825698564,0.0,0.8297211719573627,0.0
hmm_suite2,VN30F1M,20260310,20260310,SELL,1803.35,1836.96,-33.61,0.0,-33.61,0.0,1.294167015211832e-32,0.9999996020884164,0.0
hmm_suite2,VN30F1M,20260311,20260311,SELL,1840.08,1889.94,-49.86,0.0,-49.86,0.0,0.9693549599628709,0.9693549599628709,0.0
hmm_suite2,VN30F1M,20260312,20260312,SELL,1864.26,1859.8,4.46,0.0,4.46,0.0,0.985673168020124,0.985673168020124,0.0
hmm_suite2,VN30F1M,20260316,20260316,BUY,1854.8,1852.99,-1.81,0.0,-1.81,0.9430403714723463,0.0,0.9430403714723463,0.0
hmm_suite2,VN30F1M,20260317,20260317,BUY,1869.15,1873.65,4.5,0.0,4.5,0.9898621974036491,0.0,0.9898621974036491,0.0
hmm_suite2,VN30F1M,20260318,20260318,BUY,1881.21,1868.84,-12.37,0.0,-12.37,0.971296741936296,0.0,0.971296741936296,0.0
hmm_suite2,VN30F1M,20260319,20260319,BUY,1851.7,1854.19,2.49,0.0,2.49,0.7682062927578359,0.0,0.7682062927578359,0.0
hmm_suite2,VN30F1M,20260320,20260320,BUY,1850.01,1797.99,-52.02,0.0,-52.02,0.9778503008336855,0.0,0.9778503008336855,0.0
