suite,symbol,entry_date,exit_date,side,entry_price,exit_price,pnl,commission,net_pnl,p_up,p_down,confidence,mcmc_ms
hmm_suite2,VN30F1M,20260115,20260115,SELL,2060.9,2047.48,13.42,0.0,13.42,0.0,0.011766475234486058,0.8651490329474171,0.0
hmm_suite2,VN30F1M,20260116,20260116,SELL,2058.64,2080.35,-21.71,0.0,-21.71,0.0,0.009408237031235521,0.8395225438882871,0.0
hmm_suite2,VN30F1M,20260119,20260119,BUY,2104.31,2094.24,-10.07,0.0,-10.07,0.011678326212627346,0.0,0.9766683864031732,0.0
hmm_suite2,VN30F1M,20260127,20260127,SELL,2034.0,2019.88,14.12,0.0,14.12,0.0,2.0175419953508908e-09,0.9969544901231449,0.0
hmm_suite2,VN30F1M,20260130,20260130,SELL,2025.38,2029.81,-4.43,0.0,-4.43,0.0,0.027022043441137927,0.9168520833161125,0.0
hmm_suite2,VN30F1M,20260202,20260202,BUY,2021.25,2004.31,-16.94,0.0,-16.94,0.105427155355335,0.0,0.8566694496036313,0.0
hmm_suite2,VN30F1M,20260203,20260203,SELL,2008.24,1997.69,10.55,0.0,10.55,0.0,1.5676903064718976e-05,0.9130970614516793,0.0
hmm_suite2,VN30F1M,20260209,20260209,BUY,1959.24,1947.75,-11.49,0.0,-11.49,0.055950208288336446,0.0,0.9398468415642289,0.0
hmm_suite2,VN30F1M,20260211,20260211,BUY,1965.67,2000.9,35.23,0.0,35.23,0.001917169914030186,0.0,0.8440636718888878,0.0
hmm_suite2,VN30F1M,20260212,20260212,BUY,2012.76,2016.47,3.71,0.0,3.71,5.944224288036656e-12,0.0,0.9999803305026466,0.0
hmm_suite2,VN30F1M,20260213,20260213,SELL,2016.82,2018.64,-1.82,0.0,-1.82,0.0,0.07184337580131947,0.8886015001588099,0.0
hmm_suite2,VN30F1M,20260303,20260303,SELL,2019.38,1959.35,60.03,0.0,60.03,0.0,6.7010560234931845e-12,0.9986472089657237,0.0
hmm_suite2,VN30F1M,20260304,20260304,SELL,1948.24,1956.53,-8.29,0.0,-8.29,0.0,8.321165493564777e-15,0.9968643417639899,0.0
hmm_suite2,VN30F1M,20260305,20260305,BUY,1977.28,1942.76,-34.52,0.0,-34.52,0.0016313238976164918,0.0,0.9983686745835386,0.0
hmm_suite2,VN30F1M,20260309,20260309,SELL,1898.91,1780.71,118.2,0.0,118.2,0.0,0.03495976064953119,0.850770574338897,0.0
hmm_suite2,VN30F1M,20260310,20260310,SELL,1803.35,1836.96,-33.61,0.0,-33.61,0.0,8.820278871033021e-30,0.9999999655733524,0.0
hmm_suite2,VN30F1M,20260311,20260311,BUY,1840.08,1889.94,49.86,0.0,49.86,1.8329254175922355e-06,0.0,0.9999589915858398,0.0
hmm_suite2,VN30F1M,20260312,20260312,BUY,1864.26,1859.8,-4.46,0.0,-4.46,5.107518064508751e-05,0.0,0.9993925863478308,0.0
hmm_suite2,VN30F1M,20260323,20260323,SELL,1778.11,1741.05,37.06,0.0,37.06,0.0,0.00042625768070197036,0.9456131497157371,0.0
hmm_suite2,VN30F1M,20260324,20260324,SELL,1779.34,1770.16,9.18,0.0,9.18,0.0,0.022935470945452303,0.7910469926367194,0.0
